SKU,Type,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Sale price,Stock,Manage stock?,Categories,Tags,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
CASE-IP16,simple,Ốp Lưng Silicone iPhone 16 Pro,1,0,visible,"Ốp lưng silicone mềm mại cho iPhone 16 Pro.","Chất liệu silicone cao cấp, hỗ trợ MagSafe, bảo vệ camera.",299000,249000,50,1,"Phụ kiện>Ốp lưng>Ốp lưng iPhone","ốp lưng,iPhone 16,phụ kiện","https://example.com/images/case-ip16.jpg",Màu sắc,"Đen,Hồng Phấn",1,1,Model,iPhone 16 Pro,1,1
CASE-S24,simple,Ốp Lưng Samsung Galaxy S24,1,0,visible,"Ốp lưng cứng cáp cho Galaxy S24.","Chất liệu TPU, chống sốc, bảo vệ toàn diện.",199000,,60,1,"Phụ kiện>Ốp lưng>Ốp lưng Samsung","ốp lưng,Samsung S24,phụ kiện","https://example.com/images/case-s24.jpg",Màu sắc,"Đen,Trong",1,1,Model,Galaxy S24,1,1
GLASS-IP16,simple,Cường Lực iPhone 16,1,0,visible,"Cường lực 9H cho iPhone 16.","Độ cứng 9H, chống xước, dễ lắp đặt, tương thích iPhone 16/16 Pro.",149000,,70,1,"Phụ kiện>Cường lực màn hình","cường lực,iPhone 16,phụ kiện","https://example.com/images/glass-ip16.jpg",Model,iPhone 16,1,1,,
CABLE-USBC,simple,Cáp Sạc USB-C 1m,1,0,visible,"Cáp USB-C bền bỉ, sạc nhanh.","Hỗ trợ sạc nhanh 60W, truyền dữ liệu tốc độ cao, dài 1m.",99000,,100,1,"Phụ kiện>Sạc và cáp","cáp sạc,USB-C,phụ kiện","https://example.com/images/cable-usbc.jpg",Màu sắc,"Trắng,Đen",1,1,,
CHARGER-ANKER,simple,Củ Sạc Nhanh Anker 20W,1,0,visible,"Củ sạc Anker 20W nhỏ gọn.","Hỗ trợ sạc nhanh PowerIQ 3.0, tương thích iPhone, Samsung.",299000,249000,80,1,"Phụ kiện>Sạc và cáp","củ sạc,Anker,sạc nhanh","https://example.com/images/anker-20w.jpg",Màu sắc,Trắng,1,1,,
AIRPODS-PRO2,simple,Apple AirPods Pro 2,1,1,visible,"AirPods Pro 2 với âm thanh chất lượng cao.","Chip H2, chống ồn chủ động, Spatial Audio, pin 6 giờ.",6490000,5990000,30,1,"Phụ kiện>Tai nghe>Tai nghe không dây","AirPods,tai nghe không dây,Apple","https://example.com/images/airpods-pro2.jpg",Màu sắc,Trắng,1,1,,
WATCH-ULTRA2,simple,Apple Watch Ultra 2,1,1,visible,"Apple Watch Ultra 2 với độ bền vượt trội.","Màn hình 1.92 inch Retina, chip S9, GPS, chống nước 100m.",21990000,20990000,10,1,"Đồng hồ thông minh","Apple Watch,đồng hồ thông minh,Apple","https://example.com/images/watch-ultra2.jpg",Màu sắc,"Titan",1,1,Kích thước,49mm,1,1
GALAXY-W6,simple,Samsung Galaxy Watch 6,1,0,visible,"Galaxy Watch 6 với theo dõi sức khỏe.","Màn hình 1.5 inch AMOLED, chip Exynos W930, pin 425mAh, Wear OS.",7990000,,15,1,"Đồng hồ thông minh","Samsung Watch,đồng hồ thông minh,Samsung","https://example.com/images/galaxy-watch6.jpg",Màu sắc,"Đen,Vàng",1,1,Kích thước,44mm,1,1
XIAOMI-BAND8,simple,Xiaomi Band 8,1,0,visible,"Xiaomi Band 8 giá rẻ, theo dõi sức khỏe.","Màn hình 1.62 inch AMOLED, pin 14 ngày, chống nước 5ATM.",999000,,50,1,"Đồng hồ thông minh","Xiaomi Band,đồng hồ thông minh,Xiaomi","https://example.com/images/xiaomi-band8.jpg",Màu sắc,Đen,1,1,,
IPAD-AIR5,simple,iPad Air 5 64GB,1,0,visible,"iPad Air 5 với chip M1 mạnh mẽ.","Màn hình 10.9 inch Liquid Retina, chip M1, hỗ trợ Apple Pencil 2, iPadOS.",14990000,13990000,12,1,"Máy tính bảng","iPad,iPad Air,Apple","https://example.com/images/ipad-air5.jpg",Màu sắc,"Xám,Tím",1,1,Bộ nhớ,64GB,1,1
